seed,degradation_onset,failure_time,baseline_detection_time,efmw_detection_time,baseline_lead_time,efmw_lead_time,paired_lead_gain,baseline_raw_fpr,efmw_raw_fpr
101,158,278,227,187,51,91,40,0.07971014492753623,0.0
102,166,286,250,213,36,73,37,0.1643835616438356,0.0136986301369863
103,173,293,268,183,25,110,85,0.006535947712418301,0.032679738562091505
104,182,302,230,226,72,76,4,0.043209876543209874,0.06790123456790123
105,156,276,244,200,32,76,44,0.029411764705882353,0.014705882352941176
106,172,292,257,188,35,104,69,0.013157894736842105,0.0
107,146,266,178,181,88,85,-3,0.023809523809523808,0.0
108,140,260,198,175,62,85,23,0.09166666666666666,0.058333333333333334
109,173,293,249,229,44,64,20,0.026143790849673203,0.0
110,175,295,242,223,53,72,19,0.012903225806451613,0.0
111,168,288,227,213,61,75,14,0.0,0.0
112,151,271,245,180,26,91,65,0.03816793893129771,0.0
113,157,277,251,202,26,75,49,0.16058394160583941,0.014598540145985401
114,149,269,232,188,37,81,44,0.0,0.37209302325581395
115,177,297,184,215,113,82,-31,0.012738853503184714,0.012738853503184714
116,154,274,244,192,30,82,52,0.0,0.31343283582089554
117,147,267,229,199,38,68,30,0.06299212598425197,0.0
118,163,283,245,204,38,79,41,0.13286713286713286,0.13986013986013987
119,165,285,236,206,49,79,30,0.0,0.0
120,159,279,170,184,109,95,-14,0.1223021582733813,0.007194244604316547
